"GEO_ID","NAME","B27010_001E","B27010_001M","B27010_002E","B27010_002M","B27010_003E","B27010_003M","B27010_004E","B27010_004M","B27010_005E","B27010_005M","B27010_006E","B27010_006M","B27010_007E","B27010_007M","B27010_008E","B27010_008M","B27010_009E","B27010_009M","B27010_010E","B27010_010M","B27010_011E","B27010_011M","B27010_012E","B27010_012M","B27010_013E","B27010_013M","B27010_014E","B27010_014M","B27010_015E","B27010_015M","B27010_016E","B27010_016M","B27010_017E","B27010_017M","B27010_018E","B27010_018M","B27010_019E","B27010_019M","B27010_020E","B27010_020M","B27010_021E","B27010_021M","B27010_022E","B27010_022M","B27010_023E","B27010_023M","B27010_024E","B27010_024M","B27010_025E","B27010_025M","B27010_026E","B27010_026M","B27010_027E","B27010_027M","B27010_028E","B27010_028M","B27010_029E","B27010_029M","B27010_030E","B27010_030M","B27010_031E","B27010_031M","B27010_032E","B27010_032M","B27010_033E","B27010_033M","B27010_034E","B27010_034M","B27010_035E","B27010_035M","B27010_036E","B27010_036M","B27010_037E","B27010_037M","B27010_038E","B27010_038M","B27010_039E","B27010_039M","B27010_040E","B27010_040M","B27010_041E","B27010_041M","B27010_042E","B27010_042M","B27010_043E","B27010_043M","B27010_044E","B27010_044M","B27010_045E","B27010_045M","B27010_046E","B27010_046M","B27010_047E","B27010_047M","B27010_048E","B27010_048M","B27010_049E","B27010_049M","B27010_050E","B27010_050M","B27010_051E","B27010_051M","B27010_052E","B27010_052M","B27010_053E","B27010_053M","B27010_054E","B27010_054M","B27010_055E","B27010_055M","B27010_056E","B27010_056M","B27010_057E","B27010_057M","B27010_058E","B27010_058M","B27010_059E","B27010_059M","B27010_060E","B27010_060M","B27010_061E","B27010_061M","B27010_062E","B27010_062M","B27010_063E","B27010_063M","B27010_064E","B27010_064M","B27010_065E","B27010_065M","B27010_066E","B27010_066M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Under 19 years:","Margin of Error!!Total:!!Under 19 years:","Estimate!!Total:!!Under 19 years:!!With one type of health insurance coverage:","Margin of Error!!Total:!!Under 19 years:!!With one type of health insurance coverage:","Estimate!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With employer-based health insurance only","Margin of Error!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With employer-based health insurance only","Estimate!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With direct-purchase health insurance only","Margin of Error!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With direct-purchase health insurance only","Estimate!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With Medicare coverage only","Margin of Error!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With Medicare coverage only","Estimate!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With Medicaid/means-tested public coverage only","Margin of Error!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With Medicaid/means-tested public coverage only","Estimate!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With TRICARE/military health coverage only","Margin of Error!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With TRICARE/military health coverage only","Estimate!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With VA Health Care only","Margin of Error!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With VA Health Care only","Estimate!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:","Margin of Error!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:","Estimate!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!With employer-based and direct-purchase coverage","Margin of Error!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!With employer-based and direct-purchase coverage","Estimate!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!With employer-based and Medicare coverage","Margin of Error!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!With employer-based and Medicare coverage","Estimate!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!With Medicare and Medicaid/means-tested public coverage","Margin of Error!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!With Medicare and Medicaid/means-tested public coverage","Estimate!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!Other private only combinations","Margin of Error!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!Other private only combinations","Estimate!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!Other public only combinations","Margin of Error!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!Other public only combinations","Estimate!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!Other coverage combinations","Margin of Error!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!Other coverage combinations","Estimate!!Total:!!Under 19 years:!!No health insurance coverage","Margin of Error!!Total:!!Under 19 years:!!No health insurance coverage","Estimate!!Total:!!19 to 34 years:","Margin of Error!!Total:!!19 to 34 years:","Estimate!!Total:!!19 to 34 years:!!With one type of health insurance coverage:","Margin of Error!!Total:!!19 to 34 years:!!With one type of health insurance coverage:","Estimate!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With employer-based health insurance only","Margin of Error!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With employer-based health insurance only","Estimate!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With direct-purchase health insurance only","Margin of Error!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With direct-purchase health insurance only","Estimate!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With Medicare coverage only","Margin of Error!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With Medicare coverage only","Estimate!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With Medicaid/means-tested public coverage only","Margin of Error!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With Medicaid/means-tested public coverage only","Estimate!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With TRICARE/military health coverage only","Margin of Error!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With TRICARE/military health coverage only","Estimate!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With VA Health Care only","Margin of Error!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With VA Health Care only","Estimate!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:","Margin of Error!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:","Estimate!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!With employer-based and direct-purchase coverage","Margin of Error!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!With employer-based and direct-purchase coverage","Estimate!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!With employer-based and Medicare coverage","Margin of Error!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!With employer-based and Medicare coverage","Estimate!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!With Medicare and Medicaid/means-tested public coverage","Margin of Error!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!With Medicare and Medicaid/means-tested public coverage","Estimate!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!Other private only combinations","Margin of Error!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!Other private only combinations","Estimate!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!Other public only combinations","Margin of Error!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!Other public only combinations","Estimate!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!Other coverage combinations","Margin of Error!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!Other coverage combinations","Estimate!!Total:!!19 to 34 years:!!No health insurance coverage","Margin of Error!!Total:!!19 to 34 years:!!No health insurance coverage","Estimate!!Total:!!35 to 64 years:","Margin of Error!!Total:!!35 to 64 years:","Estimate!!Total:!!35 to 64 years:!!With one type of health insurance coverage:","Margin of Error!!Total:!!35 to 64 years:!!With one type of health insurance coverage:","Estimate!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With employer-based health insurance only","Margin of Error!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With employer-based health insurance only","Estimate!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With direct-purchase health insurance only","Margin of Error!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With direct-purchase health insurance only","Estimate!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With Medicare coverage only","Margin of Error!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With Medicare coverage only","Estimate!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With Medicaid/means-tested public coverage only","Margin of Error!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With Medicaid/means-tested public coverage only","Estimate!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With TRICARE/military health coverage only","Margin of Error!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With TRICARE/military health coverage only","Estimate!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With VA Health Care only","Margin of Error!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With VA Health Care only","Estimate!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:","Margin of Error!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:","Estimate!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!With employer-based and direct-purchase coverage","Margin of Error!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!With employer-based and direct-purchase coverage","Estimate!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!With employer-based and Medicare coverage","Margin of Error!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!With employer-based and Medicare coverage","Estimate!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!With direct-purchase and Medicare coverage","Margin of Error!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!With direct-purchase and Medicare coverage","Estimate!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!With Medicare and Medicaid/means-tested public coverage","Margin of Error!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!With Medicare and Medicaid/means-tested public coverage","Estimate!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!Other private only combinations","Margin of Error!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!Other private only combinations","Estimate!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!Other public only combinations","Margin of Error!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!Other public only combinations","Estimate!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!Other coverage combinations","Margin of Error!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!Other coverage combinations","Estimate!!Total:!!35 to 64 years:!!No health insurance coverage","Margin of Error!!Total:!!35 to 64 years:!!No health insurance coverage","Estimate!!Total:!!65 years and over:","Margin of Error!!Total:!!65 years and over:","Estimate!!Total:!!65 years and over:!!With one type of health insurance coverage:","Margin of Error!!Total:!!65 years and over:!!With one type of health insurance coverage:","Estimate!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With employer-based health insurance only","Margin of Error!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With employer-based health insurance only","Estimate!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With direct-purchase health insurance only","Margin of Error!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With direct-purchase health insurance only","Estimate!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With Medicare coverage only","Margin of Error!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With Medicare coverage only","Estimate!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With TRICARE/military health coverage only","Margin of Error!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With TRICARE/military health coverage only","Estimate!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With VA Health Care only","Margin of Error!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With VA Health Care only","Estimate!!Total:!!65 years and over:!!With two or more types of health insurance coverage:","Margin of Error!!Total:!!65 years and over:!!With two or more types of health insurance coverage:","Estimate!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!With employer-based and direct-purchase coverage","Margin of Error!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!With employer-based and direct-purchase coverage","Estimate!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!With employer-based and Medicare coverage","Margin of Error!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!With employer-based and Medicare coverage","Estimate!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!With direct-purchase and Medicare coverage","Margin of Error!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!With direct-purchase and Medicare coverage","Estimate!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!With Medicare and Medicaid/means-tested public coverage","Margin of Error!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!With Medicare and Medicaid/means-tested public coverage","Estimate!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!Other private only combinations","Margin of Error!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!Other private only combinations","Estimate!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!Other public only combinations","Margin of Error!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!Other public only combinations","Estimate!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!Other coverage combinations","Margin of Error!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!Other coverage combinations","Estimate!!Total:!!65 years and over:!!No health insurance coverage","Margin of Error!!Total:!!65 years and over:!!No health insurance coverage",
"0400000US01","Alabama","4822514","2254","1154392","5402","1048998","8898","504538","12347","49339","6052","4526","1505","465064","13907","25128","3474","403","380","65234","5814","9933","1951","540","514","2766","1224","9659","2274","240","408","42096","4768","40160","3774","997879","7887","746622","11023","560041","12761","82942","6224","4560","1467","80878","5007","15255","2146","2946","1348","61052","5684","20373","3040","1336","659","5834","1579","7687","1838","297","256","25525","3430","190205","9163","1835404","6650","1380650","13912","1037586","18643","130505","8861","58338","5313","112017","6315","31910","4289","10294","1936","219973","9498","35660","3588","15512","2115","11434","1485","52989","4325","17414","2831","5431","1183","81533","6066","234781","8548","834839","4185","252739","7784","16007","2108","2001","641","233913","7761","253","233","565","382","578345","7681","631","382","157352","6858","141332","6920","65956","4238","112","129","18558","2264","194404","6852","3755","1250",
"0400000US02","Alaska","705772","2037","190002","1646","151819","4070","70290","4711","4801","1099","1047","1236","59644","4935","15625","3297","412","434","20324","3438","1398","602","272","335","501","385","6505","2533","6","13","11642","2742","17859","2452","157890","3134","108499","3808","71363","3898","5858","1297","498","394","22443","2526","7521","1682","816","589","16123","2264","2566","1065","0","163","1352","825","4432","1121","186","222","7587","1765","33268","3196","268945","3220","205468","4232","147956","5023","13347","2057","2949","878","32525","3154","6661","1466","2030","726","29162","2715","4059","1079","1097","456","225","326","3526","795","5377","1642","1020","476","13858","1996","34315","3100","88935","1953","25160","2153","2966","881","252","179","21901","1931","33","43","8","12","63030","2683","157","184","25866","2328","5972","1038","8628","1532","6","12","2690","766","19711","1939","745","506",
"0400000US04","Arizona","7165904","2678","1744282","4616","1480402","12010","793135","16054","87363","7629","12062","4362","561616","16681","25290","3403","936","523","102550","6114","17544","2816","982","716","6477","1991","8083","2082","215","200","69249","5338","161330","10380","1539653","6642","1174963","13014","797344","13185","93154","5926","4976","1829","254482","10261","18524","2590","6483","1636","85312","6087","26973","3428","1225","710","6084","1457","6074","1610","1283","593","43673","4426","279378","11071","2587035","4381","2015479","14797","1432074","16497","185353","9260","45995","4114","308380","11131","26741","2711","16936","2614","213846","8215","43156","4238","10259","1734","6818","1596","45498","3490","12592","2154","8241","1494","87282","5364","357710","12915","1294934","2608","482607","8563","26404","2823","5943","1318","449542","8660","317","244","401","314","802102","8238","1075","466","171773","6266","246914","6564","96042","5072","149","245","41868","3273","244281","7161","10225","2052",
"0400000US05","Arkansas","2962596","1558","740911","4316","657060","7070","267096","10873","33188","4071","846","584","346441","11085","9242","1943","247","314","40456","4529","5568","1641","846","495","843","484","3752","1752","705","457","28742","3634","43395","5199","608903","6861","474068","8948","307610","8361","43312","3257","3179","1027","112882","6885","5369","1568","1716","763","34507","3568","8831","1704","151","206","5304","1449","1877","691","846","553","17498","2594","100328","7035","1105134","5069","858218","9772","575263","10749","86670","5909","37997","2779","138588","5524","9611","1961","10089","1963","122445","5708","16126","2293","7371","1569","5460","1054","40868","3625","4847","1510","5332","1211","42441","3818","124471","7053","507648","3089","175847","6622","9284","1848","729","325","165496","6307","11","21","327","273","329025","6581","112","141","60613","3464","100599","4266","42505","3136","49","82","20303","2055","104844","5109","2776","919",
"0400000US06","California","38997581","6171","9405057","10103","8516538","24991","4281825","41039","520212","16975","33146","6355","3573959","41645","104133","8705","3263","1745","554485","20223","108705","7729","3596","972","25001","4254","39180","4919","1197","785","376806","18547","334034","14245","8969828","11065","7408898","24924","4743076","30843","735119","12969","34012","4106","1820275","26142","55107","4881","21309","3372","450956","12067","158858","7164","5569","1347","32297","3639","21770","2685","6488","1811","225974","9576","1109974","21334","14884065","7845","12355372","31265","8473398","43889","1359361","23347","166441","8476","2235079","30293","74382","5208","46711","3691","1026842","17557","272412","9391","45447","3519","21697","2099","232664","9980","35804","3898","23902","2648","394916","12475","1501851","26116","5738631","4076","2082631","19352","217570","8204","36529","3433","1822249","19495","902","419","5381","1719","3599862","19751","7764","1798","1023191","14197","781448","13916","898089","15539","829","507","100909","4798","787632","14548","56138","4481",
"0400000US08","Colorado","5664199","2865","1331001","4067","1188191","10445","683132","14883","84617","6790","1796","1055","383695","13800","34642","4716","309","350","70254","5925","11580","2102","635","524","2141","979","14730","3260","224","236","40944","3961","72556","7546","1315152","5858","1062038","10681","757736","12199","109336","6077","3819","1496","164874","8687","19687","2513","6586","1697","77004","5151","26897","3432","1089","589","3924","1254","8521","1719","1834","707","34739","3440","176110","8686","2188707","4971","1827091","11576","1360482","13786","203896","8197","24605","3016","192539","10375","32151","3172","13418","2179","161774","6834","33651","3248","6329","1410","3976","1314","27202","2771","15118","2102","5144","1616","70354","5020","199842","8393","829339","2683","320101","7319","26321","2121","1799","528","291332","8026","141","181","508","335","504271","7573","601","350","120909","4742","157575","5336","51832","4074","324","325","19410","2665","153620","4978","4967","1443",
"0400000US09","Connecticut","3514562","1468","773214","3696","700808","5925","418934","10139","28007","3309","337","269","246191","9857","6636","2042","703","571","45505","5183","6708","1527","453","557","788","540","1897","1028","0","213","35659","4657","26901","3572","723167","4737","614332","7913","416683","10345","52306","4157","1579","697","137859","7492","4005","1056","1900","872","38285","3559","11861","2373","1428","873","3282","1148","1552","652","177","173","19985","2557","70550","5679","1409084","2914","1199839","8939","896970","10126","95041","5332","19067","2896","181294","7197","4065","1132","3402","1132","103281","5313","27258","3027","6427","1448","2843","904","25652","2791","3988","975","2344","990","34769","3570","105964","7419","609097","1782","204136","6115","24397","2471","2974","1453","176565","5756","0","213","200","187","401192","5832","644","361","127169","4405","110892","6106","55065","3721","44","74","10482","1415","96896","4173","3769","977",
"0400000US10","Delaware","956378","1518","215399","1793","186343","3829","103012","5778","6685","1957","601","490","71845","5837","4200","2162","0","203","18674","2989","3900","1283","0","203","318","350","1626","881","0","203","12830","2667","10382","2920","191605","2473","152651","4194","108555","4153","9694","1848","1368","722","28545","3686","4191","1059","298","299","14334","2020","4321","1229","0","203","1433","915","1336","545","0","203","7244","1576","24620","3339","363631","1493","297881","5531","226843","7041","22739","2474","4867","1178","38257","4521","4436","1449","739","385","38574","4027","7372","1577","2619","950","439","359","8250","1810","3648","1133","933","577","15313","2549","27176","3660","185743","801","48032","3301","3128","780","265","194","44639","3132","0","203","0","203","137119","3307","59","101","40986","2892","34698","3626","9638","1468","0","203","3543","1268","48195","2991","592","352",
"0400000US11","District of Columbia","696599","606","138489","2032","125312","3357","57989","4001","13452","3943","216","250","51308","5233","2347","1479","0","218","10353","2467","1485","702","439","605","462","611","1012","826","0","218","6955","2264","2824","1230","222630","2149","200835","3761","142266","4335","23701","2956","186","194","33132","4045","1302","635","248","273","10148","1913","5004","1285","187","231","860","778","499","334","459","488","3139","1017","11647","2967","250380","878","214971","3713","155504","4959","14229","2153","1848","973","40824","3523","1874","1035","692","424","26056","2862","4797","1146","1418","735","723","666","5997","1784","1154","515","148","162","11819","1897","9353","2402","85100","352","21736","2261","6041","1274","936","546","14736","2174","0","218","23","50","62682","2308","372","292","23201","2193","8159","1488","13619","1967","0","218","1418","756","15913","2059","682","454",
"0400000US12","Florida","21156770","4768","4479868","9379","3916139","21883","1800209","28604","367270","16573","13663","2723","1647171","31489","84167","8313","3659","2341","221050","12049","33437","4430","895","523","12872","3589","34457","5821","2354","2167","137035","9196","342679","16175","4150587","11496","2976937","23997","2037833","25580","510689","17048","16749","3345","351889","12554","43412","4733","16365","3141","192292","8876","57486","5281","4219","1536","20616","3202","20112","3201","2317","828","87542","6794","981358","22350","8098515","9442","6003338","31114","4097451","36613","1093853","24660","172932","8557","479417","15867","107654","6766","52031","5283","684852","15928","124289","7009","33320","3596","21473","3064","165752","8654","47409","4460","20414","2830","272195","8834","1410325","26171","4427800","4095","1753271","19424","85696","5668","40379","5103","1622305","19637","1037","594","3854","1713","2624543","20570","4916","1197","580273","14263","723906","15102","440142","11804","420","326","112204","4713","762682","13265","49986","4915",
"0400000US13","Georgia","10420412","3759","2661991","8783","2311842","18174","1187089","22082","115442","8414","14383","3396","919941","24145","72289","7307","2698","1855","153013","10156","28219","4386","1525","814","7637","2505","19628","3812","283","455","95721","8319","197136","14145","2239168","14062","1593393","18106","1214037","18502","169122","9163","6652","1857","156976","9913","36493","4970","10113","3164","115312","8250","40723","4248","2420","1135","11101","2087","13542","2902","1079","838","46447","4890","530463","15183","4026603","12948","2993027","20852","2347504","23743","292260","10495","80360","5542","193243","8974","49668","4807","29992","4514","377783","11454","89420","6452","22043","2879","9777","2290","73406","5356","29725","3944","9716","2072","143696","7541","655793","18240","1492650","5102","518978","12227","35683","3555","6946","1792","475041","12095","667","345","641","572","959241","11912","1428","744","251720","8492","231140","9413","135058","5838","242","182","33831","3841","305822","8832","14431","2407",
"0400000US15","Hawaii","1358715","2695","315053","1432","269932","5075","145263","5904","12619","1987","563","569","87308","5711","23879","2969","300","381","36298","4460","8328","2169","309","270","194","173","10703","2469","137","231","16627","3242","8823","2229","261896","2903","214432","4460","151964","5407","12815","1930","620","664","36798","3827","11964","1794","271","295","25384","3028","9659","2182","305","323","839","560","6292","1199","0","195","8289","1497","22080","3097","516174","2172","431545","5659","335490","6477","30309","2788","5692","1214","48397","4389","10171","1895","1486","684","60597","4150","21088","3079","2921","785","1047","503","6023","1524","7979","1336","861","524","20678","2292","24032","2782","265592","1079","66906","3680","8762","1587","1066","441","56967","3668","49","81","62","103","197142","3744","525","432","81541","4049","35413","3430","19002","2251","282","243","2559","746","57820","3221","1544","641",
